"","osm_id","name","addr:city","addr:street","amenity","description","designation","operator","short_name","townhall:type","geometry"
"3319870753","3319870753",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2103784, 10.0173965)
"3319870754","3319870754",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.2103051, 10.0171379)
"3319870755","3319870755",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.210143, 10.0172181)
"3348728296","3348728296",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1597955, 10.0373215)
"3348728297","3348728297",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1596134, 10.0373852)
"3348728298","3348728298",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1597424, 10.0375401)
"3348728299","3348728299",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1598626, 10.0374984)
"3493829580","3493829580",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0142593, 10.4502552)
"3493829581","3493829581",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0143193, 10.4497812)
"3493829582","3493829582",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0130293, 10.4496572)
"3493829583","3493829583",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.012554, 10.4498546)
"3493829584","3493829584",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0127828, 10.4503414)
"3493829585","3493829585",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0130798, 10.4502253)
"3493829586","3493829586",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0134239, 10.4501729)
"3632161909","3632161909",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1521667, 10.0030631)
"3632161910","3632161910",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1522167, 10.0027232)
"3632161911","3632161911",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1520324, 10.0026962)
"3632161912","3632161912",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.1519762, 10.0030317)
"3662550616","3662550616","Concejo Municipal Distrito Colorado","Colorado",NA,"townhall",NA,NA,"Municipalidad de Abangares",NA,NA,c(-85.108749, 10.1842326)
"3685919018","3685919018",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0501715, 9.9119741)
"3685919019","3685919019",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0496735, 9.9119224)
"3685919020","3685919020",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0495415, 9.9119185)
"3685919021","3685919021",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0495355, 9.9115679)
"3685919022","3685919022",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0489997, 9.9114774)
"3685919023","3685919023",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.049715, 9.9110363)
"3685919024","3685919024",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-84.0501326, 9.9118068)
